Committee ID,Candidate/Committee Name,Office,Party,IE For,IE Against,Total IE,Transaction Count
-258,Carlos for Phoenix,,,9999.96,0.0,9999.96,1
-291,Clowes for Council,,,9999.76,0.0,9999.76,4
-771,KEVIN PAYNE for State Representative - District 21,State Representative - District No. 21,Republican,9820.26,0.0,9820.26,8
-259,Carlos for Phoenix,,,6471.9,3235.95,9707.85,2
100902,AJ For Arizona,State Representative - District 12,Democratic,9547.09,0.0,9547.09,2
-994,Mitzi Epstein for AZ Senate,,,9308.83,0.0,9308.83,3
-524,GALVIN FOR MARICOPA COUNTY,,,8481.46,0.0,8481.46,2
-1399,Yassamin for Phoenix,,,7919.01,0.0,7919.01,1
100571,Shedd for Attorney General,Attorney General,Republican,7767.5,0.0,7767.5,1
-295,Committee to Elect Berdetta,,,7499.75,0.0,7499.75,3
-1192,Sandoval for Arizona,,,7269.34,0.0,7269.34,7
-874,Laura Pastor 4 City Council,,,6879.06,0.0,6879.06,2
-746,Julie Gunnigle for Maricopa County Attorney 2022,,,5736.41,1115.2,6851.61,7
-710,Jesus Lugo Jr for State Representative - District 4,State Representative - District No. 4,Democratic,6503.3,0.0,6503.3,2
201800489,Tim Dunn For AZ House,State Representative - District 13,Republican,6336.13,0.0,6336.13,6
201600293,BORRELLI SENATE COMMITTEE,State Senator - District No. 5,Republican,6243.84,0.0,6243.84,2
101026,Justine Wadsack for Arizona,State Senator - District No. 17,Republican,6193.57,0.0,6193.57,4
-973,McGarr for Arizona House,,,4748.95,1216.61,5965.56,8
100883,Abeytia for AZ,State Representative - District 24,Democratic,5824.14,0.0,5824.14,4
100893,Naketa Ross for State Representative - District 11,State Representative - District 11,Democratic,5445.0,0.0,5445.0,2
100016,Grantham for Arizona 2022,State Representative - District 14,Republican,5237.95,0.0,5237.95,4
-438,Elect Gabaldon for Senate,,,5131.58,0.0,5131.58,3
-268,Catherine Miranda for State Senate,,,3000.0,2040.02,5040.02,4
100650,Jan Dubauskas for State Senator - District No. 23,State Senator - District No. 23,Republican,5000.0,0.0,5000.0,3
100716,Glassman for Attorney General,Attorney General,Republican,0.0,5000.0,5000.0,1
201800088,Robinson For Senate,State Senator - District No. 30,Democratic,0.0,4950.0,4950.0,1
-466,Estela for Phoenix,,,4847.1,0.0,4847.1,1
-1303,Thomas Horne for Superintendent of Public Instruction,Superintendent of Public Instruction,Republican,0.0,4544.27,4544.27,3
-250,CYNTHIA HANS for State Senator - District No. 13,State Senator - District No. 13,Democratic,4445.13,0.0,4445.13,9
101261,Steve Chapman for State Senate,State Senator - District No. 22,Republican,2623.2,1790.2,4413.4,4
-324,Conservatives for Toma,,,4182.26,0.0,4182.26,2
101074,Suzanne Lunt for State Representative - District 14,State Representative - District 14,Republican,4105.04,0.0,4105.04,5
-702,Jennifer Treadwell for State Representative - District 5,State Representative - District No. 5,Republican,3920.34,0.0,3920.34,1
-737,Juan Padres For City Council,,,3664.53,0.0,3664.53,1
-1230,Stephanie Stahl Hamilton for State Representative,,,3506.2,0.0,3506.2,2
100009,Committee to Elect Kim Owens,Corporation Commissioner,Republican,3500.0,0.0,3500.0,1
-1,100066 - Rusty Bowers For Arizona,,,0.0,3486.13,3486.13,24
-511,Friends of Warren Petersen,,,3454.91,0.0,3454.91,1
-334,Cory Mishkin for Water Conservation District,,,3333.34,0.0,3333.34,1
-180,Bullington for CAP,,,3333.33,0.0,3333.33,1
